Ticker,Index,Announced,Trade Date,Action
SAFM,Russell 2000,2022-06-21,2022-06-23,Delete
TYDE,Russell 2000,2022-06-27,2022-06-29,Add
SRRA,MSCI SC,2022-06-27,2022-06-29,Delete
TVTY,SP600,2022-06-24,2022-06-28,Delete
WLL,MSCI SC,2022-06-28,2022-06-30,Delete
MSP,MSCI SC,2022-06-23,2022-06-27,Delete
APTS,Russell 2000,2022-06-21,2022-06-23,Delete
CNR,MSCI SC,2022-06-22,2022-06-24,Delete
CERN,SP500,2022-06-03,2022-06-07,Delete
APTS,Russell 2000,2022-06-02,2022-06-08,Delete
CERN,MSCI Std,2022-06-03,2022-06-07,Delete
ATRS,MSCI SC,2022-05-19,2022-05-23,Delete
ZNGA,MSCI SC,2022-05-18,2022-05-20,Delete
TSC,MSCI SC,2022-05-31,2022-06-02,Delete
MIME,SP400,2022-05-12,2022-05-18,Delete
ZNGA,Russell 1000,2022-05-16,2022-05-20,Delete
MIME,MSCI SC,2022-05-16,2022-05-18,Delete
MIME,Russell 2000,2022-05-12,2022-05-18,Delete
EPAY,SP600,2022-05-12,2022-05-16,Delete
EPAY,MSCI SC,2022-05-12,2022-05-16,Delete
LUB,S&P Total Market,2022-05-11,2022-05-13,Delete
XENT,MSCI SC,2022-05-12,2022-05-16,Delete
AFI,S&P Total Market,2022-05-09,2022-05-11,Delete
ESBK,S&P Total Market,2022-05-10,2022-05-13,Delete
LUB,S&P Completion,2022-05-11,2022-05-13,Delete
ESBK,S&P Completion,2022-05-10,2022-05-13,Delete
AFI,S&P Completion,2022-05-09,2022-05-11,Delete
