Ticker,Index,Announced,Trade Date,Action
EQRX,MSCI SC,2023-11-06,2023-11-08,Delete
NEWR,Russell 1000,2023-11-02,2023-11-07,Delete
NEWR,MSCI SC,2023-10-30,2023-11-01,Delete
ICPT,MSCI SC,2023-11-03,2023-11-07,Delete
TWNK,MSCI SC,2023-11-02,2023-11-06,Delete
PLM,Russell 2000,2023-10-31,2023-11-06,Delete
TWNK,SP600,2023-11-02,2023-11-06,Delete
NLOP-W,MSCI Std,2023-10-30,2023-11-02,Delete
DEN,MSCI SC,2023-10-27,2023-10-31,Delete
ESTE,MSCI SC,2023-10-27,2023-10-31,Delete
NLOP-W,Russell 1000,2023-10-27,2023-11-01,Add
ESTE,Russell 2000,2023-10-26,2023-10-31,Delete
FRGI,Russell 2000,2023-10-25,2023-10-27,Delete
CIR,SP600,2023-10-17,2023-10-19,Delete
ATVI,SP500,2023-10-13,2023-10-17,Delete
CIR,MSCI SC,2023-10-17,2023-10-19,Delete
ATVI,MSCI Std,2023-10-13,2023-10-17,Delete
NATL*,SP600,2023-10-11,2023-10-17,SP400 to SP600
NATL*,MSCI SC,2023-10-12,2023-10-17,Add
NATL*,SP400,2023-10-11,2023-10-17,SP400 to SP600
NATL*,Russell 1000,2023-10-10,2023-10-16,Add
NATL*,SP400,2023-10-11,2023-10-16,Add
HCCI,Russell 2000,2023-10-13,2023-10-16,Delete
CCF,MSCI SC,2023-10-04,2023-10-06,Delete
NATI,SP400,2023-10-09,2023-10-11,Delete
HZNP,Russell 1000,2023-10-03,2023-10-05,Delete
HCCI,MSCI SC,2023-10-06,2023-10-10,Delete
NATI,Russell 1000,2023-10-06,2023-10-10,Delete
HZNP,MSCI Std,2023-10-03,2023-10-05,Delete
NATI,MSCI SC,2023-10-09,2023-10-11,Delete
EBIX,SP600,2023-09-28,2023-10-02,Delete
VSTS*,SP400,2023-09-28,2023-09-29,Add
KLG*,SP500,2023-09-28,2023-09-29,Add
VLTO*,SP500,2023-09-28,2023-09-29,Add
